,full_name,selling_price,year,km_driven,fuel_type,transmission_type,mileage,engine
6830,Hyundai i20 Era,5.3,2016,50000,Petrol,Manual,18.6,1197
6831,Hyundai i20 1.2,6.25,2017,33181,Petrol,Manual,18.6,1197
6832,Maruti Swift Dzire,6.99,2017,11437,Petrol,Automatic,18.5,1197
6833,Maruti Celerio VXI,4.65,2014,29000,Petrol,Automatic,23.1,998
6834,Maruti Swift ZXI,3.2,2009,100000,Petrol,Manual,16.1,1298
6835,Maruti Ciaz 1.4,6.9,2017,450003,Petrol,Manual,20.73,1373
6836,Honda City V,4.45,2013,47000,Petrol,Manual,16.8,1497
6837,Honda Jazz V,7.25,2017,41000,Petrol,Automatic,18.2,1199
6838,Maruti Ciaz Alpha,9.5,2019,8500,Petrol,Manual,21.56,1462
6839,Maruti Wagon R,5.45,2019,8401,Petrol,Automatic,21.79,998
6840,Hyundai Verna Transform,3.25,2011,48000,Diesel,Manual,16.2,1493
6841,Hyundai i20 1.4,6.25,2015,98000,Diesel,Manual,23.0,1396
6842,Ford Ecosport 2015-2021,6.49,2016,41500,Petrol,Automatic,15.63,1499
6843,Ford Ecosport 2015-2021,7.85,2015,61087,Petrol,Automatic,15.63,1499
6844,Ford Aspire Titanium,7.0,2019,40000,Diesel,Manual,26.1,1498
6845,Toyota Yaris J,9.5,2018,25017,Petrol,Automatic,17.8,1496
6846,Honda City 2017-2020,1.1,2007,65000,Petrol,Manual,17.7,1497
6847,Mercedes-Benz C-Class C,6.5,2011,59000,Petrol,Automatic,11.74,1796
6848,Maruti Baleno Delta,5.95,2017,9000,Petrol,Manual,21.4,1197
6849,Hyundai i20 1.2,4.85,2016,49515,Petrol,Manual,18.5,1197
6850,Honda City i,6.3,2016,68000,Diesel,Manual,26.0,1498
6851,Tata Tiago 1.2,4.75,2018,31000,Petrol,Manual,23.84,1199
6852,Maruti Alto 800,3.6,2018,30112,CNG,Manual,33.44,796
6853,Renault KWID RXT,2.25,2016,47000,Petrol,Manual,25.17,799
6854,Skoda Superb Elegance,4.49,2010,59000,Petrol,Automatic,13.7,1798
6855,Mahindra XUV500 W10,9.6,2016,67000,Diesel,Manual,16.0,2179
6856,Hyundai Creta 1.6,8.75,2016,56000,Diesel,Manual,19.67,1582
6857,Honda City i,6.75,2014,43000,Petrol,Automatic,18.0,1497
6858,Maruti Ignis 1.2,6.25,2019,7500,Petrol,Automatic,20.89,1197
6859,Hyundai i20 1.2,6.9,2018,32000,Petrol,Manual,18.6,1197
6860,Volkswagen Polo 2015-2019,7.0,2017,70000,Petrol,Automatic,17.21,1197
6861,Volkswagen Polo Petrol,3.95,2010,50000,Petrol,Manual,16.47,1198
6862,Maruti Wagon R,2.76,2012,65000,Petrol,Manual,18.9,998
6863,Maruti Celerio LXI,3.16,2018,15000,Petrol,Manual,23.1,998
6864,Maruti Swift Dzire,7.6,2018,10000,Petrol,Automatic,21.21,1197
6865,Renault KWID RXT,2.99,2016,15000,Petrol,Manual,25.17,799
6866,Hyundai Grand i10,4.4,2014,55738,Petrol,Automatic,18.9,1197
6867,Hyundai i20 Magna,6.6,2020,15000,Petrol,Manual,20.35,1197
6868,Honda City 2017-2020,1.3,2008,120000,Petrol,Manual,17.7,1497
6869,Renault KWID RXT,3.6,2016,26500,Petrol,Manual,25.17,799
6870,Honda City i,4.75,2014,68000,Diesel,Manual,26.0,1498
6871,Maruti Swift VXI,4.62,2015,36967,Petrol,Manual,21.21,1197
6872,Hyundai i20 Sportz,5.0,2014,69500,Diesel,Manual,21.9,1396
6873,Volkswagen Vento 1.2,8.5,2017,37959,Petrol,Automatic,18.19,1197
6874,Ford Ecosport 1.5,4.25,2013,60000,Diesel,Manual,22.7,1498
6875,Mahindra XUV500 W6,8.5,2014,137000,Diesel,Manual,15.1,2179
6876,Volkswagen Polo GT,6.5,2015,64000,Petrol,Automatic,17.21,1197
6877,Hyundai i20 2015-2017,6.5,2017,120000,Diesel,Manual,22.54,1396
6878,Volkswagen Polo 1.2,6.0,2015,50000,Petrol,Manual,16.2,1199
6879,Maruti Swift Dzire,4.5,2015,20000,Petrol,Manual,20.85,1197
6880,Honda Amaze S,4.7,2013,48000,Diesel,Manual,25.8,1498
6881,Maruti Eeco 5,4.2,2019,13500,Petrol,Manual,15.37,1196
6882,Maruti Ertiga ZXI,9.4,2019,10000,Petrol,Manual,19.34,1462
6883,Hyundai Verna 1.6,4.5,2013,78125,Petrol,Manual,17.1,1591
6884,Hyundai Grand i10,5.82,2018,42000,Petrol,Manual,18.9,1197
6885,Maruti Swift Dzire,4.4,2015,52000,Petrol,Manual,20.85,1197
6886,Hyundai Verna Transform,4.5,2011,78333,Diesel,Manual,16.2,1493
6887,Maruti Celerio Green,4.35,2015,43000,CNG,Manual,31.79,998
6888,Mahindra Bolero DI,2.6,2010,35000,Diesel,Manual,13.6,2523
6889,Hyundai i20 2015-2017,5.76,2017,28056,Petrol,Manual,18.6,1197
6890,Volkswagen Polo 2015-2019,5.35,2016,43439,Petrol,Manual,16.2,1199
6891,Honda Civic 1.8,2.35,2008,90000,Petrol,Manual,13.5,1799
6892,Mahindra XUV500 W8,5.99,2012,74000,Diesel,Manual,16.0,2179
6893,Renault KWID RXT,2.9,2017,13000,Petrol,Manual,25.17,799
6894,Mahindra Bolero 2011-2019,7.5,2018,30000,Diesel,Manual,15.96,2523
6895,Hyundai Verna 1.6,5.5,2013,74832,Petrol,Manual,17.1,1591
6896,Ford Ecosport 2015-2021,7.25,2017,26000,Petrol,Manual,15.9,1496
6897,Honda Jazz 1.2,6.35,2018,24265,Petrol,Manual,18.7,1199
6898,Hyundai Santro Era,4.2,2019,20000,Petrol,Manual,20.3,1086
6899,Maruti Celerio VXI,2.98,2014,25000,Petrol,Automatic,23.1,998
6900,Volkswagen Polo 1.2,4.5,2014,25000,Petrol,Manual,16.47,1198
6901,Honda WR-V i-VTEC,7.99,2019,23500,Petrol,Manual,17.5,1199
6902,Mahindra Scorpio 2009-2014,5.25,2009,80000,Diesel,Manual,12.05,2179
6903,Hyundai i20 1.4,6.0,2017,54000,Diesel,Manual,22.54,1396
6904,Honda City 1.5,3.5,2011,39000,Petrol,Manual,17.0,1497
6905,Skoda Rapid 1.6,5.25,2012,91000,Petrol,Automatic,14.3,1598
6906,Mahindra XUV500 W6,7.0,2014,66746,Diesel,Manual,15.1,2179
6907,Maruti Celerio ZXI,5.1,2019,7000,Petrol,Manual,23.1,998
6908,Maruti Wagon R,4.6,2018,13500,Petrol,Manual,20.51,998
6909,Maruti Alto 800,3.0,2017,26000,CNG,Manual,33.44,796
6910,Mahindra Bolero 2011-2019,4.2,2013,110000,Diesel,Manual,15.96,2523
6911,Honda City i,9.0,2018,31000,Petrol,Manual,17.4,1497
6912,Hyundai Grand i10,4.99,2018,13000,Petrol,Manual,18.9,1197
6913,Maruti Ertiga VXI,8.25,2018,21000,Petrol,Manual,16.02,1373
6914,Renault KWID RXT,2.98,2017,49000,Petrol,Manual,25.17,799
6915,Maruti Celerio ZXI,4.1,2017,50000,Petrol,Automatic,23.1,998
6916,Volkswagen Polo 2015-2019,3.19,2012,58000,Petrol,Manual,18.78,999
6917,Maruti Swift VXI,4.5,2015,38000,Petrol,Manual,21.21,1197
6918,Mahindra Bolero 2011-2019,6.35,2015,30000,Diesel,Manual,15.96,2523
6919,Maruti Wagon R,4.5,2016,24000,Petrol,Manual,21.79,998
6920,Honda Jazz 1.2,7.25,2017,35000,Petrol,Automatic,19.0,1199
6921,Maruti Swift Dzire,1.91,2014,110000,Petrol,Manual,19.0,1197
6922,Renault KWID AMT,3.8,2017,60000,Petrol,Automatic,24.04,999
6923,Maruti Alto 800,2.85,2015,22000,Petrol,Manual,22.74,796
6924,Volkswagen Polo GT,5.25,2014,62000,Petrol,Automatic,17.21,1197
6925,Honda City 1.5,7.85,2015,31996,Petrol,Manual,17.0,1497
6926,Hyundai Grand i10,3.6,2014,50000,Petrol,Manual,18.9,1197
6927,Maruti Swift LXI,5.1,2015,65000,Petrol,Manual,20.4,1197
6928,Hyundai Verna CRDi,9.6,2018,35000,Diesel,Manual,22.0,1582
6929,Tata Tiago 1.2,4.25,2017,15000,Petrol,Manual,23.84,1199
6930,Honda City i,6.25,2015,71000,Diesel,Manual,26.0,1498
6931,Volkswagen Polo 1.2,6.75,2017,55000,Petrol,Manual,16.2,1199
6932,Maruti Alto 800,2.0,2014,30000,Petrol,Manual,22.74,796
6933,Hyundai i20 Magna,6.0,2019,10000,Petrol,Manual,18.6,1197
6934,Skoda Rapid 1.6,9.5,2019,20000,Petrol,Automatic,14.84,1598
6935,Honda City 1.5,3.4,2010,78000,Petrol,Manual,17.0,1497
6936,Hyundai i20 2015-2017,5.85,2017,50000,Petrol,Manual,18.6,1197
6937,Honda Amaze VX,5.0,2013,78000,Petrol,Automatic,15.5,1198
6938,Honda WR-V Exclusive,7.0,2017,80000,Petrol,Manual,17.5,1199
6939,Hyundai Creta 1.6,9.3,2017,50000,Petrol,Manual,13.0,1591
6940,Volkswagen Polo 2015-2019,9.75,2019,7121,Petrol,Automatic,17.21,1197
6941,Maruti Wagon R,1.1,2010,65000,Petrol,Manual,18.9,998
6942,Hyundai Verna 1.6,3.9,2011,57501,Diesel,Manual,22.32,1582
